Év;Hét;Nap;Húzásdátum;5+2 találat (db);5+2 találat (EUR);5+1 találat (db);5+1 találat (EUR);5 találat (db);5 találat (Ft);4+2 találat (db);4+2 találat (Ft);4+1 találat (db);4+1 találat (Ft);4 találat (db);4 találat (Ft);3+2 találat (db);3+2 találat (Ft);3+1 találat (db);3+1 találat (Ft);2+2 találat (db);2+2 találat (Ft);3 találat (db);3 találat (Ft);1+2 találat (db);1+2 találat (Ft);2+1 találat (db);2+1 találat (Ft);Számok
2024;1;Péntek;2024.01.05.;0;0 EUR;0;2 388 351 EUR;0;55 025 115 Ft;1;1 978 170 Ft;10;145 880 Ft;31;49 075 Ft;34;67 935 Ft;781;9 265 Ft;529;10 290 Ft;1639;7 830 Ft;3359;4 920 Ft;11580;4 345 Ft;11;30;32;45;47;3;10
2024;1;Kedd;2024.01.02.;0;0 EUR;0;833 526 EUR;0;72 273 240 Ft;0;2 509 735 Ft;15;150 510 Ft;26;51 005 Ft;16;85 650 Ft;414;9 430 Ft;263;13 695 Ft;1201;7 135 Ft;1249;6 890 Ft;6699;4 550 Ft;19;26;36;48;49;10;11
2023;52;Péntek;2023.12.29.;0;0 EUR;0;2 352 158 EUR;0;78 933 440 Ft;2;1 602 440 Ft;22;131 105 Ft;22;45 895 Ft;28;58 095 Ft;718;7 875 Ft;580;8 575 Ft;1609;6 865 Ft;3255;4 145 Ft;11270;3 695 Ft;2;21;34;40;48;2;6
2023;52;Kedd;2023.12.26.;0;0 EUR;0;0 EUR;0;41 872 625 Ft;0;2 685 960 Ft;7;93 675 Ft;20;30 495 Ft;16;51 615 Ft;396;6 725 Ft;260;9 270 Ft;1218;4 810 Ft;1213;4 810 Ft;5175;3 520 Ft;4;13;16;22;27;1;10
2023;51;Péntek;2023.12.22.;0;0 EUR;0;1 976 194 EUR;0;48 850 780 Ft;1;2 014 435 Ft;17;118 070 Ft;34;38 265 Ft;32;71 685 Ft;797;6 970 Ft;436;11 535 Ft;1812;5 645 Ft;2145;5 645 Ft;10254;3 660 Ft;4;6;12;31;38;2;12
2023;51;Kedd;2023.12.19.;0;0 EUR;0;0 EUR;0;41 183 675 Ft;1;2 972 010 Ft;13;108 660 Ft;23;39 975 Ft;21;67 400 Ft;460;7 770 Ft;290;10 875 Ft;1314;5 890 Ft;1455;5 540 Ft;6728;3 800 Ft;4;6;17;31;45;6;12
2023;50;Péntek;2023.12.15.;0;0 EUR;0;1 012 323 EUR;0;49 739 940 Ft;0;1 773 935 Ft;14;123 545 Ft;70;37 255 Ft;26;58 685 Ft;694;7 215 Ft;430;9 200 Ft;2219;5 160 Ft;2108;4 740 Ft;9705;3 520 Ft;7;15;17;18;39;1;10
2023;50;Kedd;2023.12.12.;0;0 EUR;0;421 049 EUR;0;124 128 035 Ft;0;2 408 760 Ft;7;135 045 Ft;42;39 905 Ft;21;72 350 Ft;440;8 295 Ft;226;11 780 Ft;1257;6 030 Ft;1337;5 960 Ft;7043;3 940 Ft;2;8;20;34;40;9;12
2023;49;Péntek;2023.12.08.;0;0 EUR;0;612 134 EUR;0;51 560 400 Ft;1;1 190 650 Ft;21;102 355 Ft;25;41 645 Ft;45;42 725 Ft;771;6 620 Ft;643;6 760 Ft;1519;6 100 Ft;3433;3 450 Ft;11403;3 170 Ft;2;8;28;32;37;3;6
2023;49;Kedd;2023.12.05.;0;0 EUR;0;175 361 EUR;0;61 113 550 Ft;0;1 211 665 Ft;9;72 695 Ft;31;24 850 Ft;27;43 595 Ft;490;6 240 Ft;514;7 560 Ft;1090;5 230 Ft;3054;3 835 Ft;7342;3 310 Ft;6;11;16;26;49;2;9
2023;48;Péntek;2023.12.01.;0;0 EUR;0;1 704 261 EUR;0;111 650 550 Ft;0;1 578 530 Ft;16;108 730 Ft;29;39 310 Ft;32;58 270 Ft;597;7 390 Ft;409;9 550 Ft;1243;5 960 Ft;2171;4 740 Ft;8392;3 695 Ft;23;32;38;45;49;1;9
2023;48;Kedd;2023.11.28.;0;0 EUR;0;200 125 EUR;0;49 165 335 Ft;0;1 297 535 Ft;7;80 610 Ft;19;31 855 Ft;70;31 855 Ft;642;5 260 Ft;718;5 260 Ft;1120;5 260 Ft;3605;2 860 Ft;9399;2 720 Ft;11;12;13;23;36;3;8
2023;47;Péntek;2023.11.24.;0;0 EUR;0;386 198 EUR;0;27 600 885 Ft;0;1 788 570 Ft;9;108 660 Ft;26;38 580 Ft;52;40 145 Ft;642;6 310 Ft;761;6 310 Ft;1208;5 995 Ft;3617;3 205 Ft;10528;3 170 Ft;16;27;33;34;39;2;7
2023;47;Kedd;2023.11.21.;0;0 EUR;0;927 015 EUR;1;26 027 620 Ft;1;3 005 220 Ft;6;123 545 Ft;29;41 610 Ft;17;69 665 Ft;448;7 285 Ft;245;10 980 Ft;1070;5 715 Ft;1331;5 645 Ft;7011;3 520 Ft;9;20;21;22;38;3;12
2023;46;Péntek;2023.11.17.;0;36 524 877 EUR;0;354 404 EUR;0;58 044 940 Ft;2;1 335 940 Ft;23;93 225 Ft;22;39 135 Ft;39;47 605 Ft;734;6 205 Ft;560;7 805 Ft;1427;5 855 Ft;3191;3 975 Ft;11382;3 065 Ft;4;14;15;20;28;7;9
2023;46;Kedd;2023.11.14.;0;0 EUR;0;1 094 402 EUR;0;107 545 670 Ft;0;2 086 990 Ft;5;131 595 Ft;21;39 835 Ft;12;65 450 Ft;438;7 425 Ft;258;10 070 Ft;911;6 935 Ft;1564;4 670 Ft;7729;3 415 Ft;9;30;34;38;48;2;3
2023;45;Péntek;2023.11.10.;0;0 EUR;0;278 817 EUR;0;54 798 140 Ft;0;2 259 710 Ft;10;108 280 Ft;20;41 855 Ft;25;51 615 Ft;660;6 585 Ft;454;8 190 Ft;1493;6 100 Ft;2182;4 215 Ft;9628;3 240 Ft;1;17;22;29;31;5;6
2023;45;Kedd;2023.11.07.;0;0 EUR;0;997 621 EUR;0;196 070 315 Ft;1;1 470 045 Ft;4;124 380 Ft;19;46 770 Ft;39;46 770 Ft;307;7 320 Ft;526;7 320 Ft;877;7 005 Ft;3331;3 485 Ft;6013;3 485 Ft;26;36;43;47;49;4;7
2023;44;Péntek;2023.11.03.;0;0 EUR;0;308 304 EUR;0;25 247 290 Ft;2;2 379 695 Ft;12;108 420 Ft;34;41 160 Ft;28;52 765 Ft;577;7 145 Ft;368;8 645 Ft;1442;6 100 Ft;1717;4 425 Ft;7938;3 450 Ft;6;21;23;31;39;1;5
2023;44;Kedd;2023.10.31.;0;35 268 799 EUR;0;392 365 EUR;2;28 917 970 Ft;0;2 244 690 Ft;15;100 195 Ft;31;34 675 Ft;15;54 925 Ft;471;7 390 Ft;260;9 655 Ft;1092;6 065 Ft;1583;4 775 Ft;6454;3 625 Ft;6;15;21;34;48;1;5
2023;43;Péntek;2023.10.27.;0;0 EUR;0;868 212 EUR;0;113 757 650 Ft;1;2 165 090 Ft;9;124 520 Ft;24;44 155 Ft;49;44 400 Ft;756;6 970 Ft;767;6 970 Ft;1492;6 345 Ft;4210;3 345 Ft;10562;3 345 Ft;6;13;15;20;40;2;8
2023;43;Kedd;2023.10.24.;0;0 EUR;0;534 532 EUR;0;186 284 680 Ft;1;2 770 015 Ft;6;124 380 Ft;27;43 840 Ft;16;67 990 Ft;395;7 875 Ft;230;10 385 Ft;883;6 725 Ft;1437;4 775 Ft;6032;3 660 Ft;5;14;35;40;47;1;3
2023;42;Péntek;2023.10.20.;0;0 EUR;0;200 266 EUR;1;31 487 950 Ft;1;1 018 385 Ft;16;78 760 Ft;25;31 785 Ft;46;42 760 Ft;697;6 170 Ft;536;7 215 Ft;1552;5 715 Ft;2668;3 730 Ft;10286;3 205 Ft;11;16;22;34;46;2;5
2023;42;Kedd;2023.10.17.;0;0 EUR;0;324 491 EUR;0;95 662 205 Ft;0;3 944 810 Ft;10;170 765 Ft;23;53 110 Ft;22;62 415 Ft;427;8 225 Ft;371;8 225 Ft;995;7 320 Ft;2238;3 660 Ft;7409;3 520 Ft;6;8;42;49;50;3;5
2023;41;Péntek;2023.10.13.;0;54 233 217 EUR;0;361 266 EUR;1;35 501 275 Ft;2;1 301 300 Ft;24;96 290 Ft;50;35 060 Ft;61;45 655 Ft;829;6 900 Ft;946;7 665 Ft;1714;6 100 Ft;4889;3 800 Ft;11940;3 485 Ft;16;23;30;37;41;2;9
2023;41;Kedd;2023.10.10.;0;0 EUR;0;1 211 193 EUR;0;34 006 455 Ft;1;1 963 240 Ft;13;108 800 Ft;38;31 050 Ft;18;61 895 Ft;581;6 620 Ft;331;10 140 Ft;1696;5 090 Ft;1525;5 090 Ft;7837;3 380 Ft;7;8;12;21;43;4;11
2023;40;Péntek;2023.10.06.;0;0 EUR;0;895 239 EUR;0;87 974 190 Ft;0;4 464 980 Ft;7;174 810 Ft;21;52 240 Ft;15;89 040 Ft;480;9 515 Ft;308;13 625 Ft;1179;7 110 Ft;1718;6 410 Ft;8148;4 285 Ft;17;18;40;43;50;9;11
2023;40;Kedd;2023.10.03.;0;0 EUR;0;355 925 EUR;0;69 952 835 Ft;0;1 730 790 Ft;15;98 105 Ft;21;39 310 Ft;29;57 955 Ft;658;6 275 Ft;323;9 550 Ft;1044;6 030 Ft;1629;4 845 Ft;8674;3 170 Ft;13;28;29;31;47;8;9
2023;39;Péntek;2023.09.29.;0;0 EUR;0;887 684 EUR;0;47 282 005 Ft;1;2 021 960 Ft;8;119 080 Ft;23;48 475 Ft;36;48 475 Ft;695;7 110 Ft;951;7 110 Ft;1202;6 830 Ft;5600;3 380 Ft;10610;3 380 Ft;14;24;29;45;48;3;9
2023;39;Kedd;2023.09.26.;0;0 EUR;0;0 EUR;0;27 488 040 Ft;0;3 173 860 Ft;7;129 640 Ft;23;40 670 Ft;25;60 255 Ft;432;7 980 Ft;300;10 560 Ft;1106;5 785 Ft;1670;5 160 Ft;6207;3 975 Ft;23;24;38;42;44;1;10
